id,case_name,url,last_name,expected_text,match_mode,scenario_type,expected_result
401,SearchNonExistingOwner_Case_401,http://localhost:8080/owners/find,NoOwner401,has not been found,case_insensitive_contains,unique_name,not_found
402,SearchNonExistingOwner_Case_402,http://localhost:8080/owners/find,ZZZ402,has not been found,case_insensitive_contains,uppercase_name,not_found
403,SearchNonExistingOwner_Case_403,http://localhost:8080/owners/find,nouser403,has not been found,case_insensitive_contains,lowercase_name,not_found
404,SearchNonExistingOwner_Case_404,http://localhost:8080/owners/find,Missing-Owner-404,has not been found,case_insensitive_contains,hyphenated_name,not_found
405,SearchNonExistingOwner_Case_405,http://localhost:8080/owners/find,Owner_405,has not been found,case_insensitive_contains,underscore_name,not_found
406,SearchNonExistingOwner_Case_406,http://localhost:8080/owners/find,900406,has not been found,case_insensitive_contains,numeric_name,not_found
407,SearchNonExistingOwner_Case_407,http://localhost:8080/owners/find,X407Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
408,SearchNonExistingOwner_Case_408,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName408,has not been found,case_insensitive_contains,long_name,not_found
409,SearchNonExistingOwner_Case_409,http://localhost:8080/owners/find,TestOwner409ABC,has not been found,case_insensitive_contains,alphanumeric_name,not_found
410,SearchNonExistingOwner_Case_410,http://localhost:8080/owners/find,Unknown410,has not been found,case_insensitive_contains,standard_missing_name,not_found
411,SearchNonExistingOwner_Case_411,http://localhost:8080/owners/find,NoOwner411,has not been found,case_insensitive_contains,unique_name,not_found
412,SearchNonExistingOwner_Case_412,http://localhost:8080/owners/find,ZZZ412,has not been found,case_insensitive_contains,uppercase_name,not_found
413,SearchNonExistingOwner_Case_413,http://localhost:8080/owners/find,nouser413,has not been found,case_insensitive_contains,lowercase_name,not_found
414,SearchNonExistingOwner_Case_414,http://localhost:8080/owners/find,Missing-Owner-414,has not been found,case_insensitive_contains,hyphenated_name,not_found
415,SearchNonExistingOwner_Case_415,http://localhost:8080/owners/find,Owner_415,has not been found,case_insensitive_contains,underscore_name,not_found
416,SearchNonExistingOwner_Case_416,http://localhost:8080/owners/find,900416,has not been found,case_insensitive_contains,numeric_name,not_found
417,SearchNonExistingOwner_Case_417,http://localhost:8080/owners/find,X417Y,has not been found,case_insensitive_contains,short_mixed_name,not_found
418,SearchNonExistingOwner_Case_418,http://localhost:8080/owners/find,NonExistingOwnerVeryLongName418,has not been found,case_insensitive_contains,long_name,not_found
