id,case_name,url,owner_id,pet_id,pet_name,birth_date,pet_type,expected_text,scenario_type,expected_result
601,EditPet_Case_601,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet601,2016-01-01,bird,EditedPet601,rename_pet,success
602,EditPet_Case_602,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet602,2016-01-20,cat,EditedPet602,change_birth_date,success
603,EditPet_Case_603,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet603,2016-02-08,dog,EditedPet603,change_pet_type,success
604,EditPet_Case_604,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet604,2016-02-27,hamster,EditedPet604,update_all_fields,success
605,EditPet_Case_605,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet605,2016-03-17,lizard,EditedPet605,boundary_name_length,success
606,EditPet_Case_606,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet606,2016-04-05,snake,EditedPet606,rename_pet,success
607,EditPet_Case_607,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet607,2016-04-24,bird,EditedPet607,change_birth_date,success
608,EditPet_Case_608,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet608,2016-05-13,cat,EditedPet608,change_pet_type,success
609,EditPet_Case_609,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet609,2016-06-01,dog,EditedPet609,update_all_fields,success
610,EditPet_Case_610,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet610,2016-06-20,hamster,EditedPet610,boundary_name_length,success
611,EditPet_Case_611,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet611,2016-07-09,lizard,EditedPet611,rename_pet,success
612,EditPet_Case_612,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet612,2016-07-28,snake,EditedPet612,change_birth_date,success
613,EditPet_Case_613,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet613,2016-08-16,bird,EditedPet613,change_pet_type,success
614,EditPet_Case_614,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet614,2016-09-04,cat,EditedPet614,update_all_fields,success
615,EditPet_Case_615,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet615,2016-09-23,dog,EditedPet615,boundary_name_length,success
616,EditPet_Case_616,http://localhost:8080/owners/1/pets/1/edit,1,1,EditedPet616,2016-10-12,hamster,EditedPet616,rename_pet,success
