id,case_name,url,expected_title,expected_message,match_mode,scenario_type,expected_result
901,ErrorPage_Case_901,http://localhost:8080/oups?case=901,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
902,ErrorPage_Case_902,http://localhost:8080/oups?case=902,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
903,ErrorPage_Case_903,http://localhost:8080/oups?case=903,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
904,ErrorPage_Case_904,http://localhost:8080/oups?case=904,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
905,ErrorPage_Case_905,http://localhost:8080/oups?case=905,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
906,ErrorPage_Case_906,http://localhost:8080/oups?case=906,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
907,ErrorPage_Case_907,http://localhost:8080/oups?case=907,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
908,ErrorPage_Case_908,http://localhost:8080/oups?case=908,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
909,ErrorPage_Case_909,http://localhost:8080/oups?case=909,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
910,ErrorPage_Case_910,http://localhost:8080/oups?case=910,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
911,ErrorPage_Case_911,http://localhost:8080/oups?case=911,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
912,ErrorPage_Case_912,http://localhost:8080/oups?case=912,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
913,ErrorPage_Case_913,http://localhost:8080/oups?case=913,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
914,ErrorPage_Case_914,http://localhost:8080/oups?case=914,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
915,ErrorPage_Case_915,http://localhost:8080/oups?case=915,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
916,ErrorPage_Case_916,http://localhost:8080/oups?case=916,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
917,ErrorPage_Case_917,http://localhost:8080/oups?case=917,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
918,ErrorPage_Case_918,http://localhost:8080/oups?case=918,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
919,ErrorPage_Case_919,http://localhost:8080/oups?case=919,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
920,ErrorPage_Case_920,http://localhost:8080/oups?case=920,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
921,ErrorPage_Case_921,http://localhost:8080/oups?case=921,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
922,ErrorPage_Case_922,http://localhost:8080/oups?case=922,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
923,ErrorPage_Case_923,http://localhost:8080/oups?case=923,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
924,ErrorPage_Case_924,http://localhost:8080/oups?case=924,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
925,ErrorPage_Case_925,http://localhost:8080/oups?case=925,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
926,ErrorPage_Case_926,http://localhost:8080/oups?case=926,Something happened,An internal server error occurred.,case_insensitive_contains,application_error,error_page
