id,case_name,url,expected_title,expected_home_text,expected_find_owners_text,expected_veterinarians_text,note
701,HomePage_Case_701,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 701
702,HomePage_Case_702,http://localhost:8080/,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 702
703,HomePage_Case_703,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 703
704,HomePage_Case_704,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 704
705,HomePage_Case_705,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 705
706,HomePage_Case_706,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 706
707,HomePage_Case_707,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 707
708,HomePage_Case_708,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 708
709,HomePage_Case_709,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 709
710,HomePage_Case_710,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 710
711,HomePage_Case_711,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 711
712,HomePage_Case_712,http://localhost:8080/,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 712
713,HomePage_Case_713,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 713
714,HomePage_Case_714,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 714
715,HomePage_Case_715,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 715
716,HomePage_Case_716,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 716
717,HomePage_Case_717,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Expanded scenario 717
